epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,1810.96,1.20413,0.61178,0.98247,0.89417,0.7782,0.83889,0.38308,2.02387,1.2242,1.34909,0.0001652,0.0001652,0.0001652
141,1824.28,1.23245,0.59861,1.01582,0.87521,0.77444,0.82538,0.37844,2.00125,1.13187,1.33861,0.000152,0.000152,0.000152
142,1837.11,1.19156,0.60571,1.00018,0.88107,0.77986,0.84153,0.38089,2.01546,1.15419,1.3422,0.0001388,0.0001388,0.0001388
143,1849.93,1.1865,0.58475,0.99518,0.89044,0.78947,0.84478,0.38512,2.01098,1.17107,1.35298,0.0001256,0.0001256,0.0001256
144,1862.77,1.17828,0.58276,0.99762,0.89457,0.7782,0.83857,0.38187,2.01843,1.17385,1.3646,0.0001124,0.0001124,0.0001124
145,1875.59,1.14699,0.57349,0.98816,0.88847,0.77867,0.84665,0.38854,2.03123,1.20622,1.37033,9.92e-05,9.92e-05,9.92e-05
146,1888.39,1.14557,0.56793,0.9784,0.91039,0.76392,0.83713,0.37781,2.02674,1.20069,1.36169,8.6e-05,8.6e-05,8.6e-05
147,1901.23,1.15597,0.56695,0.99645,0.89911,0.7782,0.84581,0.38227,2.0392,1.21169,1.37313,7.28e-05,7.28e-05,7.28e-05
148,1914.05,1.13462,0.54439,0.97679,0.91824,0.76692,0.84561,0.38543,2.02461,1.19259,1.3644,5.96e-05,5.96e-05,5.96e-05
149,1926.86,1.12608,0.55585,0.97146,0.91165,0.77585,0.84907,0.39147,2.02768,1.19324,1.37462,4.64e-05,4.64e-05,4.64e-05
150,1939.74,1.12492,0.55121,0.97657,0.90738,0.77341,0.84541,0.39258,2.03502,1.20797,1.38298,3.32e-05,3.32e-05,3.32e-05
